<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
31/03/18;000000;6848.0100000;7200.0000000;6780.0000000;6928.5000000;13865
01/04/18;000000;6928.5000000;7044.4600000;6450.0000000;6816.0100000;14634
02/04/18;000000;6816.0100000;7100.0000000;6777.2800000;7045.0100000;9101
03/04/18;000000;7045.0100000;7520.0000000;7016.8000000;7424.9000000;18284
04/04/18;000000;7424.9100000;7424.9100000;6708.4600000;6791.6800000;12642
05/04/18;000000;6791.6800000;6923.1000000;6568.6400000;6785.8500000;10498
06/04/18;000000;6785.8600000;6847.0000000;6518.8800000;6619.0100000;8094
07/04/18;000000;6619.0100000;7059.0000000;6605.0800000;6894.0100000;4375
08/04/18;000000;6894.0100000;7099.9900000;6891.8300000;7020.0100000;2592
09/04/18;000000;7020.0100000;7169.5300000;6617.0000000;6771.1300000;13317
10/04/18;000000;6771.1400000;6885.6400000;6661.1900000;6824.9900000;6006
11/04/18;000000;6825.0000000;6972.2700000;6806.0100000;6942.9900000;7323
12/04/18;000000;6943.0000000;8050.0000000;6767.7700000;7916.0000000;29193
13/04/18;000000;7915.9900000;8220.0000000;7760.0000000;7893.1900000;18171
14/04/18;000000;7893.1900000;8150.0000000;7830.0000000;8003.1100000;7396
15/04/18;000000;8003.1200000;8392.5600000;8003.1100000;8355.2500000;9259
16/04/18;000000;8355.2400000;8398.9800000;7905.9900000;8048.9300000;12863
17/04/18;000000;8048.9200000;8162.5000000;7822.0000000;7892.1000000;7005
18/04/18;000000;7892.1100000;8239.5000000;7879.8000000;8152.0500000;6858
19/04/18;000000;8152.0500000;8300.0000000;8101.4700000;8274.0000000;9890
20/04/18;000000;8274.0000000;8929.3800000;8216.2100000;8866.2700000;12378
21/04/18;000000;8866.2700000;9038.8700000;8610.7000000;8915.4200000;11288
22/04/18;000000;8915.4200000;9015.0000000;8754.0100000;8795.0100000;6480
23/04/18;000000;8795.0000000;8991.0000000;8775.1000000;8931.3000000;7499
24/04/18;000000;8931.3100000;9728.5600000;8930.0000000;9645.1000000;18363
25/04/18;000000;9645.0000000;9763.4900000;8602.4300000;8865.9800000;27915
26/04/18;000000;8865.9800000;9318.0000000;8660.0000000;9272.1100000;13778
27/04/18;000000;9272.1200000;9369.0000000;8910.0000000;8922.5500000;11224
28/04/18;000000;8922.5600000;9447.0000000;8863.4200000;9329.9900000;7412
29/04/18;000000;9329.9900000;9512.5000000;9179.9900000;9389.0100000;5641
30/04/18;000000;9389.0100000;9447.0000000;9110.8800000;9243.8300000;7509
01/05/18;000000;9243.8300000;9245.3700000;8831.2100000;9072.2900000;10679
02/05/18;000000;9072.2900000;9251.0500000;8990.0000000;9190.4800000;7544
03/05/18;000000;9190.4700000;9797.9700000;9131.0000000;9725.7400000;10916
04/05/18;000000;9725.7400000;9745.0000000;9474.9900000;9685.0000000;8418
05/05/18;000000;9685.0000000;9948.1200000;9660.2800000;9800.0000000;6602
06/05/18;000000;9799.9900000;9880.0000000;9390.0000000;9600.0000000;6526
07/05/18;000000;9600.0000000;9619.5500000;9162.8500000;9353.0000000;9135
08/05/18;000000;9356.2500000;9463.1300000;9050.0000000;9177.8200000;9179
09/05/18;000000;9177.8100000;9370.0000000;8960.0000000;9300.0800000;6757
10/05/18;000000;9300.0800000;9386.3200000;9001.0100000;9010.5100000;6401
11/05/18;000000;9010.5100000;9010.5100000;8351.0000000;8403.3300000;16698
12/05/18;000000;8403.3300000;8658.5700000;8223.4300000;8475.0000000;10059
