<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
12/07/18;000000;446.2500000;447.1700000;418.2300000;431.4600000;44984
13/07/18;000000;431.3800000;442.3100000;425.1000000;432.8000000;50287
14/07/18;000000;432.8000000;440.0000000;428.1300000;434.1300000;23710
15/07/18;000000;434.1400000;454.2100000;431.2900000;449.4100000;35795
16/07/18;000000;449.4200000;479.9200000;444.0500000;478.1800000;63258
17/07/18;000000;478.1900000;510.7900000;466.1000000;499.0100000;94759
18/07/18;000000;499.0100000;515.8800000;468.8500000;478.8100000;94844
19/07/18;000000;478.9200000;483.8800000;462.0700000;468.3900000;49774
20/07/18;000000;468.3800000;468.7300000;441.0000000;448.2100000;60551
21/07/18;000000;448.2100000;468.8500000;442.0000000;461.5000000;32784
22/07/18;000000;461.5000000;471.7400000;455.0000000;456.9000000;29198
23/07/18;000000;456.9000000;469.3000000;445.6600000;449.0000000;58370
24/07/18;000000;449.0000000;483.9200000;447.9900000;478.7900000;84059
25/07/18;000000;478.7900000;484.4300000;463.5500000;470.8100000;61808
26/07/18;000000;470.8100000;483.8800000;460.0000000;461.4200000;43672
27/07/18;000000;461.4300000;473.3300000;454.2500000;469.3000000;41816
28/07/18;000000;469.3000000;471.0100000;461.2500000;468.1200000;18502
29/07/18;000000;468.1200000;471.3700000;462.0000000;466.0100000;19113
30/07/18;000000;466.0100000;469.0000000;446.0000000;456.4600000;47824
31/07/18;000000;456.4700000;457.3000000;427.3300000;432.3500000;56275
01/08/18;000000;432.3600000;435.4800000;407.7800000;419.6000000;72283
02/08/18;000000;419.5900000;424.6100000;407.2900000;410.7100000;42228
03/08/18;000000;410.7100000;420.2700000;395.0000000;417.8000000;94476
04/08/18;000000;417.8000000;419.1600000;401.0000000;407.0000000;36768
05/08/18;000000;407.0000000;413.3300000;400.5000000;408.8300000;29441
06/08/18;000000;408.9600000;413.1700000;401.0000000;404.9900000;33733
07/08/18;000000;404.9900000;410.0000000;369.1000000;378.0800000;75638
08/08/18;000000;378.0700000;380.7700000;347.1800000;355.7000000;178623
09/08/18;000000;355.6900000;371.0900000;351.0000000;363.9900000;91994
10/08/18;000000;363.9900000;366.4600000;326.0000000;330.9900000;93073
11/08/18;000000;331.0000000;332.0000000;305.1400000;318.0200000;134640
12/08/18;000000;318.3200000;328.1200000;313.2900000;318.1500000;57562
13/08/18;000000;318.1600000;322.2700000;281.4100000;284.1100000;206424
14/08/18;000000;284.1100000;285.0000000;250.2800000;279.4000000;338675
15/08/18;000000;279.3900000;305.4000000;275.9300000;281.2100000;253738
16/08/18;000000;281.2100000;298.8900000;277.8400000;286.6700000;117451
17/08/18;000000;286.6700000;319.0000000;285.4200000;317.5400000;161034
18/08/18;000000;317.5500000;322.1600000;283.1000000;296.6100000;95981
19/08/18;000000;296.5900000;307.6500000;289.3300000;300.0300000;61264
20/08/18;000000;300.0300000;304.0000000;269.0000000;270.7600000;94690
21/08/18;000000;270.7600000;286.4200000;269.1300000;281.4900000;71808
22/08/18;000000;281.5000000;298.9900000;259.1100000;270.4700000;144194
23/08/18;000000;270.4800000;280.3900000;268.6000000;275.8700000;93704
24/08/18;000000;275.8700000;283.3800000;270.2700000;281.3500000;73598
25/08/18;000000;281.3500000;282.9500000;276.9900000;277.9700000;31704
26/08/18;000000;277.9700000;277.9700000;270.0000000;274.2500000;39842
27/08/18;000000;274.2600000;288.6400000;271.3200000;287.9900000;57791
28/08/18;000000;288.1100000;297.6400000;282.8500000;295.3900000;78301
29/08/18;000000;295.4000000;297.3200000;284.1100000;289.0000000;57390
30/08/18;000000;288.9900000;290.9900000;272.1300000;284.5200000;81287
31/08/18;000000;284.5200000;284.7000000;276.6600000;281.9400000;49731
01/09/18;000000;281.9500000;302.2000000;281.9400000;294.6400000;59059
02/09/18;000000;294.6500000;298.7200000;288.4200000;295.0600000;44376
03/09/18;000000;295.0600000;296.3800000;285.7600000;288.6000000;54059
04/09/18;000000;288.6000000;292.1100000;282.1000000;285.4300000;73153
05/09/18;000000;285.4300000;287.9500000;225.5400000;227.5600000;212678
06/09/18;000000;227.5600000;233.6000000;211.0000000;229.0300000;278641
07/09/18;000000;229.3500000;234.2300000;214.0000000;215.2100000;126722
08/09/18;000000;215.2000000;220.0000000;190.0000000;197.0000000;186638
09/09/18;000000;197.0000000;208.5000000;185.3900000;195.9100000;148088
10/09/18;000000;195.9200000;202.7000000;186.5900000;196.9400000;135123
11/09/18;000000;196.9400000;199.2500000;175.5000000;185.1500000;173527
12/09/18;000000;185.1500000;185.1500000;167.0000000;182.7900000;249787
13/09/18;000000;182.9200000;215.0000000;182.9100000;211.3900000;275539
14/09/18;000000;211.1500000;224.3000000;202.5000000;210.0000000;218493
15/09/18;000000;210.0000000;227.5500000;208.2600000;221.6900000;114466
